1,2
1,25
2,1
2,3
3,2
3,4
3,25
4,3
4,5
4,24
4,25
5,4
5,6
5,24
6,5
6,7
6,23
6,24
7,6
7,8
7,22
8,7
8,9
8,22
9,8
9,10
9,15
9,16
9,17
9,21
9,22
10,9
10,11
10,13
10,15
11,10
11,12
11,13
12,11
12,13
12,14
13,10
13,11
13,12
13,14
13,15
14,12
14,13
14,15
14,16
15,9
15,10
15,13
15,14
15,16
16,9
16,14
16,15
16,17
16,18
17,9
17,16
17,18
17,21
18,16
18,17
18,19
18,20
19,18
19,20
20,18
20,19
20,21
21,9
21,17
21,20
21,22
21,23
21,27
22,7
22,8
22,9
22,21
22,23
23,6
23,21
23,22
23,24
23,26
24,4
24,5
24,6
24,23
24,25
24,26
25,1
25,3
25,4
25,24
25,26
26,23
26,24
26,25
26,27
27,21
27,26
